ID,Department,"Vendor Name","Contract Value","Contract Date","Start Year","End Year","Original Value","Number of Amendments",Description,"Original Vendor Name"
csa-9F15100253,csa,EXPOGRAPHIQ,87603.26,2010-09-08,2010,2012,87603.26,0,"331 - Exposition services",EXPOGRAPHIQ
csa-9F52100405,csa,"NORTHERN CENTRE FOR ADVANCED",3043487.94,2011-01-28,2011,2013,2624695.5,5,"431 - Scientific consultants","NORTHERN CENTRE FOR ADVANCED"
csa-7007431,csa,"INTEGRATED LEARNING INTERNAT",17377.5,2009-07-29,2009,2010,12862.5,0,"499 - Other professional services","INTEGRATED LEARNING INTERNAT."
csa-7011703,csa,"AGILENT TECHNOLOGY CANADA",13230.09,2014-01-01,2014,2014,13230.09,0,"660 - Measuring, controlling, laboratory, medical and op","AGILENT TECHNOLOGY CANADA INC"
csa-9F00580651,csa,"LOCKHEED MARTIN SERVICES",1998656.5,2016-21-12,2010,2017,1803537,4,"420 - Gateway technical support","LOCKHEED MARTIN SERVICES INC"
csa-7006523,csa,"ASCENSEURS THYSSENKRUPP",337520.38,2008-10-20,2008,2019,282000,6,"655 - Processing machinery","ASCENSEURS THYSSENKRUPP"
csa-7011020,csa,"SOFTCHOICE CORPORATION",12273.19,2013-01-11,2013,2013,12273.19,0,"1283 - Comp equip-client-desktop-pers-portable(incl parts","SOFTCHOICE CORPORATION"
csa-9F007F7006567,csa,"TREMA  GESTION CONSEIL",24045,2008-11-03,2008,2009,24045,0,"491 - Management consulting","TREMA  GESTION CONSEIL INC."
csa-7012390,csa,"POWER-TEK CAPITAL SERVICES",93711.41,2014-11-28,2014,2014,74318.97,0,"645 - Other buildings","POWER-TEK CAPITAL SERVICES INC"
csa-7009881,csa,"GROUPE CONSEIL PROCOM LTEE",763564.2,2011-09-08,2011,2015,126000,8,"351 - Web media consultant","GROUPE CONSEIL PROCOM LTEE"
csa-7011335,csa,"MACDONALD DETTWILER AND ASSOCIATES",68061.35,2013-05-07,2013,2013,68061.35,0,"420 - Engineering services not elsewhere specified","MACDONALD DETTWILER AND"
csa-9F53120610,csa,"UNIVERSITY OF WATERLOO",201429.5,2015-04-28,2013,2015,129932,2,"431 - Cardio-vascular structure study","UNIVERSITY OF WATERLOO"
csa-7013470,csa,ABB,402309.03,2016-07-08,2016,2017,402309.03,0,"420 - Concept study air quality and greenhouse gas","ABB INC"
csa-7012423,csa,"WALTER E SIPES",127698.85,2016-07-21,2014,2017,73131.5,3,"453 - Physicians and surgeons","WALTER E. SIPES"
csa-9F00780460,csa,"ABB BOMEM",1199097.54,2011-05-17,2009,2011,524882.4,3,"431 - Scientific consultants","ABB BOMEM INC."
csa-7009530,csa,"ORKIN CANADA",39154.5,2015-02-06,2011,2016,7830.9,4,"859 - Pest control treatment","ORKIN CANADA"
csa-9F08150891,csa,"THE IBMP",379679.86,2016-06-21,2016,2020,379679.86,0,"430 - Scientific services","THE IBMP"
csa-7013479,csa,"JASCO APPLIED SCIENCES (CANADA)",114956.32,2016-07-08,2016,2017,114956.32,0,"499 - Feasibility studies - development space-based automatic identification system","JASCO APPLIED SCIENCES (CANADA) LTD"
csa-7011463,csa,"RICOH CANADA",34038.35,2013-08-01,2013,2017,34038.35,0,"533 - Rental of machinery, office furniture and fixtures","RICOH CANADA INC"
csa-52120307/5,csa,"NEPTEC DESIGN GROUP",314929.65,2013-01-11,2013,2013,314929.65,0,"431 - Scientific consultants","NEPTEC DESIGN GROUP LTD."
csa-9F00791215,csa,"COM DEV",576492.58,2015-01-26,2010,2016,198594.09,4,"423 - Engineering support during integration & testing phase of a detector subsystem of an ultra violet tel","COM DEV LTD."
csa-7006223,csa,COFOMO,17850,2008-06-16,2008,2008,17850,0,"472 - Information technology consultants","COFOMO INC"
csa-7009282,csa,"CANADIAN CORPS OF COMMISSIONAIRES",978238.8,2011-02-17,2011,2012,947788.8,2,"460 - Protection services","CORPS CANADIEN DES COMMISSIONNAIRES"
csa-9F02870493,csa,"ACTEL CORPORATION",52998.57,2008-08-29,2008,2008,52998.57,0,"1179 - Miscellaneous manufactured articles","ACTEL CORPORATION"
csa-9F10140151,csa,"KEYSIGHT TECHNOLOGIES CANADA",126979.55,2016-05-31,2014,2017,80550.11,2,"660 - Measuring, controlling, laboratory, medical and op","KEYSIGHT TECHNOLOGIES CANADA INC."
csa-9F52130126,csa,"THE GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO",332410.5,2016-02-23,2013,2016,274923,2,"431 - Scientific support on the space telescope  herschel & planck mission","THE GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO"
csa-7012486,csa,CIMAISE,14314.4,2014-11-24,2014,2016,14314.4,0,"421 - Architectural services",CIMAISE
csa-7007190,csa,"ELSYS SYSTEMES AU LASER",16800,2009-06-01,2009,2011,16800,0,"670 - Computer equip. - hardware/software","ELSYS SYSTEMES AU LASER"
csa-7006018,csa,"NSW CONTROLE",31298.4,2008-04-01,2008,2009,31298.4,0,"656 - Heating, air-conditioning, and refrigeration equip","NSW CONTROLE INC"
csa-7013160,csa,"SAMSON & ASSOCIES ASSOCIATES",266986.33,2016-01-04,2016,2018,266986.33,0,"491 - Internal audit professional services","SAMSON & ASSOCIES / ASSOCIATES"
csa-9F42111137,csa,"UNIVERSITY OF WATERLOO",2010621,2014-05-07,2012,2015,649986,3,"431 - Atmospheric chemistry experience science team support","UNIVERSITY OF WATERLOO"
csa-9F06400632,csa,"ANALYTICAL GRAPHICS",36446.4,2010-11-01,2010,2011,36446.4,0,"524 - Rental of computer software","ANALYTICAL GRAPHICS INC."
csa-7012078,csa,"LES ENTREPRISES FERVEL",1556607.43,2014-04-24,2014,2017,1556607.43,0,"811 - Contracted building cleaning","LES ENTREPRISES FERVEL INC."
csa-7008036,csa,DUOCOM,20558.68,2010-01-26,2010,2010,20558.68,0,"1179 - Miscellaneous manufactured articles",DUOCOM
csa-7010575,csa,"INTERNATIONAL LEAK DETECTION",14125,2012-05-01,2012,2012,14125,0,"859 - Other business services not elsewhere specified","INTERNATIONAL LEAK DETECTION"
csa-7011994,csa,"CANADIAN CORPS OF COMMISSIONAIRES",356778.49,2014-03-13,2014,2015,356778.49,0,"460 - Protection services","CORPS CANADIEN DES COMMISSIONNAIRES"
csa-7008047,csa,"MACDONALD DETTWILER AND ASSOCIATES",71724.24,2010-01-26,2010,2010,71724.24,0,"1143 - Printed matter, incl. books, newspapers, pictures,","MDA GEOSPATIAL SERVICES INC."
csa-9F63001332,csa,"MAGELLAN AEROSPACE WINNIPEG",1220023.96,2014-01-26,2011,2014,1049473.95,2,"431 - Development of space technologies in line with highly elliptical orbit & geosynchronous earth orbit f","MAGELLAN AEROSPACE WINNIPEG"
csa-7011323,csa,C-CORE,22678.82,2013-04-30,2013,2013,22678.82,0,"420 - Engineering services not elsewhere specified",C-CORE
csa-7010968,csa,KABOOM,16865.3,2012-12-11,2012,2013,16865.3,0,"351 - Communications professional services not elsewhere",KABOOM
csa-7009533,csa,"DUOCOM CANADA",21303.74,2011-04-26,2011,2011,20778.21,0,"522 - Rental of image/video communications equipment","DUOCOM CANADA INC."
csa-7011658,csa,"NEW RIVER KINEMATICS",13953.6,2013-10-23,2013,2014,13953.6,0,"583 - Licence/maintenance fees(applic software&dev&dev s","NEW RIVER KINEMATICS"
csa-7008749,csa,"VIASAT GEO-TECHNOLOGIE",24990,2010-09-27,2010,2011,24990,0,"431 - Scientific consultants","VIASAT GEO-TECHNOLOGIE INC."
csa-9F00791472,csa,"YORK UNIVERSITY",230000,2010-06-10,2010,2013,200000,2,"431 - Scientific consultants","YORK UNIVERSITY"
csa-7009710,csa,"CIMAISE ARCHITECTES",34759.2,2011-07-04,2011,2012,34759.2,0,"421 - Architectural services","CIMAISE ARCHITECTES"
csa-7005934,csa,"RICOH CANADA",30996,2008-04-01,2008,2013,30996,0,"533 - Rental of machinery, office furniture and fixtures","RICOH CANADA INC"
csa-7009559,csa,"BESAM CANADA",14577,2011-05-06,2011,2011,14577,2,"1179 - Miscellaneous manufactured articles","BESAM CANADA INC."
csa-7010620,csa,"INSTITUT NATIONAL DOPTIQUE",94263.62,2012-06-06,2012,2013,62861.9,2,"431 - Scientific consultants","INSTITUT NATIONAL D'OPTIQUE"
csa-7009716,csa,"AEPOS TECHNOLOGIES CORPORATION",28417.2,2011-07-04,2011,2012,28417.2,0,"491 - Management consulting","AEPOS TECHNOLOGIES CORPORATION"
csa-7009382,csa,"ADECCO CANADA",70765.12,2011-03-07,2011,2012,70765.12,0,"813 - Temporary help services","ADECCO CANADA"
csa-9F43101094,csa,"MACDONALD DETTWILER AND ASSOCIATES",183750,2012-02-29,2012,2012,183750,0,"1143 - Printed matter, incl. books, newspapers, pictures,","MDA GEOSPATIAL SERVICES INC."
csa-7007806,csa,"GGB INDUSTRIES",16821.9,2009-11-19,2009,2010,16821.9,0,"1243 - Measuring, controlling, laboratory, medical and op","GGB INDUSTRIES INC."
csa-7008377,csa,"SOLMEX SERVICES DENTRETIEN",1367145.03,2010-04-16,2010,2013,395188.5,5,"811 - Contracted building cleaning","SOLMEX SERVICES D'ENTRETIEN INC."
csa-9F63110115,csa,"COMPOSITES ATLANTIC LIMITED",924712.95,2012-04-24,2012,2013,589223.25,3,"431 - Scientific consultants","COMPOSITES ATLANTIC LIMITED"
csa-7007842,csa,"CIMAISE ARCHITECTES",10111.5,2009-12-03,2009,2010,10111.5,0,"421 - Architectural services","CIMAISE ARCHITECTES"
csa-2890318-02,csa,"NEPTEC DESIGN GROUP",14720063.62,2010-11-17,2010,2013,11549644.26,5,"431 - Scientific consultants","NEPTEC DESIGN GROUP LTD."
csa-9F08111051,csa,"BUBBLE TECHNOLOGY INDUSTRIES",1263169.51,2014-09-22,2012,2016,451865.94,3,"491 - Scientific and technical support for experiment aboard the international space station","BUBBLE TECHNOLOGY INDUSTRIES INC."
csa-9F02891220,csa,"ENGINEERING SERVICES",3438802.7,2010-10-08,2010,2013,3148208.7,3,"431 - Scientific consultants","ENGINEERING SERVICES INC."
csa-9F018F7006888,csa,"CBCI TELECOM CANADA",19474.35,2009-02-16,2009,2009,19474.35,0,"1223 - Image/video equipment","CBCI TELECOM CANADA INC."
csa-7013626,csa,"THYSSENKRUPP ELEVATOR CANADA",302421.9,2016-26-10,2016,2017,302421.9,0,"645 - Other buildings","THYSSENKRUPP ELEVATOR CANADA LTD"
csa-9F00791590,csa,"THE UNIVERSITY OF CALGARY",276219.01,2011-09-29,2010,2011,157488.78,3,"431 - Scientific consultants","THE UNIVERSITY OF CALGARY"
csa-7010565,csa,"NATIONAL INSTRUMENTS CANADA",10938.4,2012-05-02,2012,2013,10938.4,0,"524 - Rental of computer software","NATIONAL INSTRUMENTS CANADA"
csa-9F15110864,csa,"MKI TRAVEL & CONFERENCE MANAGEMENT",33900,2011-12-21,2011,2012,33900,0,"352 - Public relations services","MKI TRAVEL & CONFERENCE MANAGEMENT"
csa-9F028A9F02880826,csa,"MACDONALD DETTWILER AND ASSOCIATES",388470.6,2009-03-19,2009,2009,388470.6,0,"431 - Scientific consultants","MACDONALD DETWILLER AND"
csa-7007577,csa,"RANDSTAD OTTAWA",34142.06,2009-09-21,2009,2010,34142.06,0,"813 - Temporary help services","RANDSTAD OTTAWA"
csa-9F01080499,csa,"AGILENT TECHNOLOGIES CANADA",108339.48,2008-09-17,2008,2008,108339.48,0,"1243 - Measuring, controlling, laboratory, medical and op","AGILENT TECHNOLOGIES CANADA INC."
csa-7008411,csa,STANEX,200975.25,2010-04-28,2010,2014,52337.25,4,"665 - Other equipment","STANEX INC."
csa-7011197,csa,IAPA,17437.88,2013-03-04,2013,2013,17437.88,0,"447 - Tuition fees and costs of attending courses includ",IAPA
csa-9F04300839,csa,"COMMUNICATIONS & POWER INDUSTRIES",336000,2010-12-09,2010,2011,210000,0,"431 - Scientific consultants","COMMUNICATIONS & POWER INDUSTRIES"
csa-7007928,csa,"PYLON ELECTRONICS",367500,2010-01-26,2010,2011,367500,4,"660 - Measuring, controlling, laboratory, medical and op","PYLON ELECTRONICS INC.,"
csa-9F01081761,csa,"PFEIFFER VACUUM",27531.18,2009-09-17,2009,2009,27531.18,0,"1244 - Radar equipment and parts","PFEIFFER VACUUM"
csa-6314057220,csa,"NEPTEC DESIGN GROUP",1126933.22,2016-003-11,2016,2017,798626.71,2,"431 - Compact active sensor technology (cast) prototype","NEPTEC DESIGN GROUP LTD."
csa-9F02870656,csa,"THE MATHWORKS",98813.6,2008-04-02,2008,2008,98813.6,0,"1228 - Computer software","THE MATHWORKS INC"
csa-9F06410571,csa,"LMS N AMERICA",59140.62,2013-12-31,2011,2014,19324.48,3,"583 - License-maintenance fees for application software","LMS N. AMERICA"
csa-9F028A7006934,csa,"BRISTOL AEROSPACE LIMITED",41157.48,2009-03-02,2009,2010,41157.48,0,"431 - Scientific consultants","BRISTOL AEROSPACE LIMITED"
csa-9F08140002,csa,"WYLE LABORATORIES",167514.96,2016-002-12,2014,2017,113382.37,4,"430 - Scientific services, excluding consultants (specif","WYLE LABORATORIES INC."
csa-7012268,csa,"HELICOPTER TRANSPORT SERVICES",370223.38,2014-08-08,2014,2014,370223.38,0,"561 - Rental of aircraft","HELICOPTER TRANSPORT SERVICES"
csa-7008046,csa,"MACDONALD DETTWILER AND ASSOCIATES",68665.91,2010-01-26,2010,2010,68665.91,0,"1143 - Printed matter, incl. books, newspapers, pictures,","MDA GEOSPATIAL SERVICES INC."
csa-7009074,csa,"INNOVATION PLACE",19530,2010-12-30,2010,2011,19530,0,"421 - Architectural services","INNOVATION PLACE"
csa-9F08150890,csa,"BUBBLE TECHNOLOGY INDUSTRIES",846711.59,2016-06-13,2016,2020,846711.59,0,"491 - Scientific and technical support for experiment aboard the international space station","BUBBLE TECHNOLOGY INDUSTRIES INC."
csa-7010178,csa,"EUROCONSULT NORTH AMERICA",11928,2011-12-08,2011,2012,11928,0,"491 - Management consulting","EUROCONSULT NORTH AMERICA"
csa-9F01080149,csa,"AGILENT TECHNOLOGIES CANADA",80742.94,2008-07-01,2008,2010,34272.25,3,"660 - Measuring,controlling,laboratory,medical","AGILENT TECHNOLOGIES CANADA INC."
csa-7012083,csa,"LALANDE & DOYLE ARCHITECTS",39930.68,2014-04-22,2014,2015,39930.68,0,"422 - Service elevator custom made replacement","LALANDE & DOYLE ARCHITECTS INC."
csa-9F018F7006893,csa,"CBCI TELECOM CANADA",15825.6,2009-02-16,2009,2009,15825.6,0,"1223 - Image/video equipment","CBCI TELECOM CANADA INC."
csa-7008519,csa,"MCO BUSINESS GROUP",35585.88,2010-04-15,2010,2015,35585.88,0,"533 - Rental of machinery, office furniture and fixtures","MCO BUSINESS GROUP INC"
csa-7007442,csa,"POWER-TEK CAPITAL SERVICES",644207.69,2009-08-04,2009,2014,52500,7,"859 - Construction services architectural & structural services","POWER-TEK CAPITAL SERVICES INC"
csa-7013130,csa,"CARRE TECHNOLOGIES",132267.24,2016-07-06,2015,2018,82598.04,2,"499 - Astroskin testing support","CARRE TECHNOLOGIES INC."
csa-7011393,csa,"ROCHON EXPERTS CONSEILS",14743.16,2013-06-06,2013,2014,14743.16,0,"422 - Engineering consultants - construction","ROCHON EXPERTS CONSEILS INC"
csa-6314057223,csa,"COM DEV",786832.57,2016-16-11,2015,2017,402412.5,2,"431 - Aerosol limb imager (ali) concept development","COM DEV LTD."
csa-7007481,csa,"ARTEMP PERSONNEL SERVICES",36251.61,2009-08-20,2009,2012,4200,3,"499 - Other professional services not otherwise specifie","ARTEMP PERSONNEL SERVICES INC."
csa-6314057221,csa,"COM DEV",720279.29,2016-15-11,2015,2018,459900,2,"431 - Advanced single photon counting auroral ultraviolet imager","COM DEV LTD."
csa-9F007A7007062,csa,"NUYTCO RESEARCH",92925,2009-03-26,2009,2009,92925,0,"226 - Data communications services (including all non-vo","NUYTCO RESEARCH LTD"
csa-9F030A7006712,csa,"TESC CONTRACTING",351750,2008-12-19,2008,2009,351750,0,"421 - Architectural services","TESC CONTRACTING LTD"
csa-7012167,csa,KABOOM,11273.32,2014-06-18,2014,2014,11273.32,0,"321 - Printing services",KABOOM
csa-2871181-10,csa,"NGC AEROSPATIALE LTEE",627690,2009-07-15,2009,2011,315000,2,"431 - Scientific consultants","NGC AEROSPATIALE LTEE"
csa-9F02880027,csa,"SIEMENS PLM SOFTWARE (CA)",18011.19,2008-06-01,2008,2009,18011.19,0,"1229 - Computer equipment parts","SIEMENS PLM SOFTWARE (CA) LTD."
csa-7011799,csa,"PRO MODELBUILDERS",24949.58,2014-01-06,2014,2014,24949.58,0,"1179 - Miscellaneous manufactured articles","PRO MODELBUILDERS INC."
csa-9F00751332,csa,"UNIVERSITY OF GUELPH",2034544,2011-07-20,2006,2011,611036,3,"430 - Scientific services, excluding consultants (specif","UNIVERSITY OF GUELPH"
csa-7011828,csa,"ADVISO CONSEIL",10376.49,2014-01-15,2014,2014,10376.49,0,"352 - Public relations services","ADVISO CONSEIL INC."
csa-7010090,csa,"EUROCONSULT NORTH AMERICA",235800.28,2011-11-18,2011,2012,235800.28,0,"491 - Management consulting","EUROCONSULT NORTH AMERICA"
csa-7008732,csa,"ITT VISUAL INFORMATION SOLUTIONS",13397.8,2010-09-20,2010,2010,13397.8,0,"447 - Tuition fees and costs of attending courses includ","ITT VISUAL INFORMATION SOLUTIONS"
csa-7009937,csa,"NISHA TECHNOLOGIES",24754.8,2011-09-26,2011,2011,24754.8,0,"1227 - Computer equipment small desktop personal portable","NISHA TECHNOLOGIES"
csa-7009903,csa,"ROCHON EXPERTS CONSEILS",22443.75,2011-09-16,2011,2012,22443.75,0,"422 - Engineering consultants - construction","ROCHON EXPERTS CONSEILS INC."
csa-9F030A7006716,csa,"CUMMINS ONTARIO",20670.58,2009-03-01,2009,2013,20670.58,0,"859 - Other business services not elsewhere specified","CUMMINS ONTARIO INC."
csa-7011397,csa,"ECLIPSE SOLUTIONS AV",10071.81,2013-06-10,2013,2013,10071.81,0,"1280 - Analog com/networking equip(incl parts&peripherals","ECLIPSE SOLUTIONS AV"
csa-7009553,csa,"SCHENKER OF CANADA",37549.91,2011-05-04,2011,2011,37549.91,0,"210 - Transportation of things not elsewhere specified","SCHENKER OF CANADA LTD."
csa-7008446,csa,"6174647 CANADAORPORATED",55931857.36,2008-11-14,2008,2010,40179610.99,0,"420 - Engineering services not elsewhere specified","6174647 CANADA INCORPORATED"
csa-7012941,csa,"BEDARD RESSOURCES",41253.03,2016-04-27,2015,2016,17039.3,3,"813 - Administrative temporary help","BEDARD RESSOURCES INC."
csa-7011870,csa,"COM DEV",689850,2014-12-31,2014,2016,574875,2,"499 - Feasability study microsatellite mission","COM DEV LTD."
csa-9F52110786,csa,"UNIVERSITY OF GUELPH",2450290,2014-04-02,2012,2015,889069,4,"431 - Space instrument development technical support","UNIVERSITY OF GUELPH"
csa-9F02880491,csa,"NORTHERN CENTRE FOR ADVANCED",2146139.1,2008-09-17,2008,2010,1739574.9,2,"431 - Scientific consultants","NORTHERN CENTRE FOR ADVANCED"
csa-7010777,csa,"CIMAISE ARCHITECTES",29652,2012-09-13,2012,2014,29652,0,"421 - Architectural services","CIMAISE ARCHITECTES"
csa-7009799,csa,EXACTEARTH,198625.35,2011-08-04,2011,2012,198625.35,0,"3718 - Suspense account (credit balance) - other governme","EXACTEARTH LTD."
csa-7009403,csa,"CANADIAN CORPS OF COMMISSIONAIRES",796753.63,2011-03-09,2011,2012,350403.63,2,"460 - Protection services","COMMISSIONAIRES OTTAWA"
csa-9F00680405,csa,GLOBVISION,1418601.75,2013-12-10,2009,2014,662425.76,5,"420 - Engineering support on real-time spacecraft simulator for the generic multi-mission
microsatellite","GLOBVISION INC."
csa-7009063,csa,"DELOITTE AND TOUCHE",309960,2010-12-24,2010,2011,309960,0,"401 - Accounting and audit services (purchased from outs","DELOITTE & TOUCHE LLP"
csa-9F10110130,csa,SOQUELEC,46612.5,2011-06-23,2011,2011,46612.5,0,"1243 - Measuring, controlling, laboratory, medical and op","SOQUELEC LTD."
csa-7012411,csa,"DOYLETECH CORPORATION",28520.13,2014-10-09,2014,2015,28520.13,0,"491 - Commercialization studies","DOYLETECH CORPORATION"
csa-7010102,csa,"NISHA TECHNOLOGIES",27363.02,2011-11-17,2011,2011,27363.02,0,"1226 - Computer equipment large/medium mainframe, mini","NISHA TECHNOLOGIES"
csa-9F01981607,csa,"SOFTCHOICE CORPORATION",17413.2,2009-06-03,2009,2009,17413.2,0,"1228 - Computer software","SOFTCHOICE CORPORATION"
csa-9F45130443,csa,"THE GOVERNING COUNCIL OF THE",728557,2016-008-12,2014,2017,531250,3,"431 - Research & developpement intrument data collector","THE GOVERNING COUNCIL OF THE"
csa-7009678,csa,"ENTRETIEN MCGILL",102644.45,2011-06-20,2011,2016,48174,3,"811 - Office building maintenance/cleaning services","ENTRETIEN MCGILL INC."
csa-9F52100314,csa,"NEPTEC DESIGN GROUP",8079901.4,2015-05-20,2010,2016,429833.25,9,"431 - Space instrument development technical support","NEPTEC DESIGN GROUP LTD."
csa-7012385,csa,"HICKLING ARTHURS LOW CORPORATION",80390.52,2014-10-01,2014,2015,80390.52,0,"499 - Study on the space workforce in canada and requirements for the coming decade","HICKLING ARTHURS LOW CORPORATION"
csa-7011239,csa,"ARROW ELECTRONICS",13485.59,2013-03-18,2013,2013,13485.59,0,"1243 - Measuring, controlling, laboratory, medical and op","ARROW ELECTRONICS INC."
csa-7005917,csa,"RICOH CANADA",23310,2008-04-01,2008,2013,23310,0,"533 - Rental of machinery, office furniture and fixtures","RICOH CANADA INC"
csa-9F52130905,csa,"MACDONALD DETTWILER AND ASSOCIATES",16521177.04,2015-12-18,2015,2016,12738713.76,2,"431 - Replacement of mobile servicing system cameras on iss","MACDONALD DETTWILER AND"
csa-9F52100540,csa,"NEPTEC DESIGN GROUP",629654.54,2010-10-07,2010,2011,430301.74,2,"431 - Scientific consultants","NEPTEC DESIGN GROUP LTD."
csa-2871181-07,csa,"MACDONALD DETTWILER AND ASSOCIATES",1050000,2009-05-26,2009,2011,525000,2,"431 - Scientific consultants","MACDONALD DETTWILER AND"
csa-7008928,csa,"CIMAISE ARCHITECTES",13001.1,2010-11-15,2010,2011,13001.1,0,"421 - Architectural services","CIMAISE ARCHITECTES"
csa-7009995,csa,"JOSEPH CARAMAGNO",20947.5,2011-10-11,2011,2012,20947.5,0,"401 - Accounting and audit services (purchased from outs","JOSEPH CARAMAGNO"
csa-7010753,csa,"TORBRAM ELECTRIC SUPPLY",0,2012-08-28,2012,2012,16603.9,0,"1242 - Electric lighting, distribution and control equipm","TORBRAM ELECTRIC SUPPLY"
csa-7009239,csa,"TRM TECHNOLOGIES",47775,2011-02-11,2011,2012,32655,2,"420 - Engineering services not elsewhere specified","TRM TECHNOLOGIES INC."
csa-7007473,csa,"ROCHON EXPERTS CONSEILS",10615.5,2009-08-18,2009,2010,10615.5,0,"422 - Engineering consultants - construction","ROCHON EXPERTS CONSEILS INC."
csa-7010880,csa,"ROCHON EXPERTS CONSEILS",39924.78,2012-10-25,2012,2013,39924.78,0,"422 - Engineering consultants - construction","ROCHON EXPERTS CONSEILS INC"
csa-7008326,csa,"LANGUAGE SCHOOL INTERLANGUES",36894.9,2010-04-01,2010,2011,36894.9,0,"665 - Other equipment","LANGUAGE SCHOOL - INTERLANGUES"
csa-6313009311,csa,ARTSENSING,553374.69,2013-11-18,2013,2016,553374.69,0,"431 - Research and development services - generic technologies - multi-functions structures","ARTSENSING INC."
csa-7006287,csa,"APPLIED TECHNOLOGY INSTITUTE",18773.52,2008-09-02,2008,2008,18773.52,0,"448 - Purchase of training packages and courses","APPLIED TECHNOLOGY INSTITUTE"
csa-7010218,csa,"SAMSON BELAIR DELOITTE & TOUCHE",23100,2011-12-28,2011,2012,23100,0,"401 - Accounting and audit services (purchased from outs","SAMSON BELAIR / DELOITTE & TOUCHE"
csa-7009713,csa,"ROCHON EXPERTS CONSEILS",25504.5,2011-07-04,2011,2012,25504.5,0,"422 - Engineering consultants - construction","ROCHON EXPERTS CONSEILS INC."
csa-9F37120641,csa,"ADGA GROUP",885307.51,2016-04-01,2013,2017,655357.5,2,"491 - Project management support professional services","ADGA GROUP CONSULTANTS INC."
csa-9F32130884,csa,"WILEY SUBSCRIPTION SERVICES",26978.67,2016-01-07,2014,2016,8537.75,2,"1143 - Printed matter, incl. books, newspapers, pictures,","WILEY SUBSCRIPTION SERVICES INC."
csa-7007285,csa,"SERV GESTION QUANTUM LTEE",11939.55,2009-06-11,2009,2009,7282.8,0,"813 - Temporary help services","SERV. GESTION QUANTUM LTEE"
csa-2871182-10,csa,"ADVANTECH SATELLITE NETWORKS",210000,2009-10-27,2009,2010,210000,0,"431 - Scientific consultants","ADVANTECH SATELLITE NETWORKS INC"
csa-7006099,csa,BUROVISION,31463.66,2008-05-02,2008,2008,31463.66,0,"1173 - House furnishings, excl furniture",BUROVISION
csa-7013222,csa,"CONSULTATION LUCEN CONSULTING",23272.08,2016-02-04,2016,2016,23272.08,0,"499 - Work description writing services","CONSULTATION LUCEN CONSULTING INC."
csa-7013182,csa,"THE AIM GROUP",201705,2016-01-18,2016,2017,201705,0,"813 - Temporary help of mechanical engineer","THE AIM GROUP INC."
csa-7013443,csa,KPMG,57487.5,2016-06-16,2016,2017,57487.5,0,"499 - Professional services to conduct an industry survey",KPMG
csa-7010155,csa,"NEW RIVER KINEMATICS",11711.22,2011-11-30,2011,2012,11711.22,0,"524 - Rental of computer software","NEW RIVER KINEMATICS"
csa-9F08140392,csa,"UNIVERSITY OF BRITISH COLOMBIA",335200,2015-05-27,2015,2018,335200,0,"431 - Study on behavioural and psychological domains (cultural values) in space","UNIVERSITY OF BRITISH COLOMBIA"
csa-7012441,csa,"ANALYTICAL GRAPHICS",12927.15,2015-02-01,2015,2016,12927.15,0,"583 - Licence/maintenance fees for application software","ANALYTICAL GRAPHICS INC."
csa-9F52100336,csa,"THE UNIVERSITY OF BRITISH COLUMBIA",567834.97,2016-02-26,2010,2014,183052,4,"431 - Space instrument development technical support","THE UNIVERSITY OF BRITISH COLUMBIA"
csa-7011503,csa,"DB GEOSERVICES",24802.64,2013-08-19,2013,2014,24802.64,0,"420 - Support for review, analysis and extraction of pertinent information of white papers on space utiliza","DB GEOSERVICES"
csa-7012850,csa,"EXEL CONTRACTING",11034.45,2015-05-25,2015,2015,11034.45,0,"607 - Repair highways, roads and streets","EXEL CONTRACTING INC."
csa-7012542,csa,"SMITH & ANDERSEN CONS ENG",37869.13,2014-12-20,2014,2015,37869.13,0,"420 - Building design and autocad® drafting services","SMITH & ANDERSEN CONS. ENG."
csa-7008670,csa,"POLYVAL CONSTRUCTION",115283.68,2010-08-27,2010,2010,99696.45,2,"630 - Office buildings","POLYVAL CONSTRUCTION INC."
csa-9F028A7006725,csa,"MACDONALD DETTWILER AND ASSOCIATES",70934.8,2009-01-05,2009,2009,70934.8,0,"1143 - Printed matter, incl. books, newspapers, pictures,","MDA GEOSPATIAL SERVICES INC."
csa-7006465,csa,"LANSDOWNE TECHNOLOGIES",32523.75,2008-09-23,2008,2009,32523.75,0,"420 - Engineering services not elsewhere specified","LANSDOWNE TECHNOLOGIES INC."
csa-7013253,csa,"MACHRAFI RACHID",70373.91,2016-005-12,2016,2017,59557.05,2,"431 - Testing bubble detectors in the ground-based accelerators","MACHRAFI RACHID"
csa-6313009307,csa,"THE GOVERNING COUNCIL OF THE",249979,2013-11-18,2013,2015,249979,0,"431 - Research and development services - generic technologies -  propulsion system","THE GOVERNING COUNCIL OF THE"
csa-7009647,csa,"PATTISON SIGN GROUP",11027.54,2011-06-08,2011,2011,11027.54,0,"321 - Printing services","PATTISON SIGN GROUP"
csa-9F00571328,csa,ATACOM,19120.16,2008-04-04,2008,2008,19120.16,0,"1229 - Computer equipment parts",ATACOM
